id,name,state,postcode,lat,lng
379,NORTHBRIDGE,NSW,2063,-33.810428,151.207945
380,ARTARMON,NSW,2064,-33.809426,151.185655
381,CROWS NEST,NSW,2065,-33.826090,151.199192
382,GREENWICH,NSW,2065,-33.831958,151.186129
383,NAREMBURN,NSW,2065,-33.817299,151.201160
384,ROYAL NORTH SHORE HOSPITAL,NSW,2065,-33.821588,151.191396
385,ST LEONARDS,NSW,2065,-33.823248,151.195504
386,WOLLSTONECRAFT,NSW,2065,-33.828158,151.196621
387,LANE COVE,NSW,2066,-33.814599,151.168722
388,LANE COVE NORTH,NSW,2066,-33.807556,151.170912
389,LANE COVE WEST,NSW,2066,-33.806246,151.153281
390,LINLEY POINT,NSW,2066,-33.826777,151.148251
391,LONGUEVILLE,NSW,2066,-33.833096,151.165342
392,NORTHWOOD,NSW,2066,-33.829732,151.177751
393,RIVERVIEW,NSW,2066,-33.825587,151.159934
394,CHATSWOOD,NSW,2067,-33.795617,151.185329
395,CHATSWOOD WEST,NSW,2067,-33.796332,151.167142
396,CASTLECRAG,NSW,2068,-33.802403,151.212643
397,MIDDLE COVE,NSW,2068,-33.794087,151.207975
398,NORTH WILLOUGHBY,NSW,2068,-33.801483,151.198600
399,WILLOUGHBY,NSW,2068,-33.801483,151.198600
400,WILLOUGHBY EAST,NSW,2068,-33.802534,151.203505
401,CASTLE COVE,NSW,2069,-33.784165,151.199948
402,ROSEVILLE,NSW,2069,-33.784635,151.177111
403,ROSEVILLE CHASE,NSW,2069,-33.778902,151.195195
404,EAST LINDFIELD,NSW,2070,-33.766415,151.186095
405,LINDFIELD,NSW,2070,-33.766415,151.186095
406,EAST KILLARA,NSW,2071,-33.753498,151.170003
407,KILLARA,NSW,2071,-33.753498,151.170003
408,GORDON,NSW,2072,-33.755765,151.152835
409,PYMBLE,NSW,2073,-33.744140,151.141103
410,WEST PYMBLE,NSW,2073,-33.760383,151.126038
411,NORTH TURRAMURRA,NSW,2074,-33.713419,151.147146
412,SOUTH TURRAMURRA,NSW,2074,-33.746027,151.113441
413,TURRAMURRA,NSW,2074,-33.713419,151.147146
414,WARRAWEE,NSW,2074,-33.722839,151.126134
415,ST IVES,NSW,2075,-33.730601,151.158551
416,ST IVES CHASE,NSW,2075,-33.707895,151.163446
417,NORMANHURST,NSW,2076,-33.720999,151.097331
418,NORTH WAHROONGA,NSW,2076,-33.702704,151.123179
419,WAHROONGA,NSW,2076,-33.702704,151.123179
420,ASQUITH,NSW,2077,-33.687484,151.108685
421,HORNSBY,NSW,2077,-33.704748,151.098696
422,HORNSBY HEIGHTS,NSW,2077,-33.670086,151.095503
423,WAITARA,NSW,2077,-33.709541,151.104136
424,MOUNT COLAH,NSW,2079,-33.670869,151.115118
425,MOUNT KURING-GAI,NSW,2080,-33.647023,151.133038
426,BEROWRA,NSW,2081,-33.623581,151.150117
427,COWAN,NSW,2081,-33.589491,151.171015
428,BEROWRA CREEK,NSW,2082,,
429,BEROWRA HEIGHTS,NSW,2082,-33.610968,151.136829
430,BEROWRA WATERS,NSW,2082,-33.601653,151.118370
431,BAR POINT,NSW,2083,-33.507463,151.163329
432,BROOKLYN,NSW,2083,-33.548006,151.225190
433,CHEERO POINT,NSW,2083,-33.514637,151.195142
434,COGRA BAY,NSW,2083,-33.519596,151.223002
435,DANGAR ISLAND,NSW,2083,-33.539357,151.241762
436,MILSONS PASSAGE,NSW,2083,-33.518967,151.176541
437,MOONEY MOONEY,NSW,2083,-33.528010,151.198198
438,COTTAGE POINT,NSW,2084,-33.619578,151.203831
439,DUFFYS FOREST,NSW,2084,-33.676775,151.199879
440,TERREY HILLS,NSW,2084,-33.683644,151.228470
441,BELROSE,NSW,2085,-33.739288,151.211439
442,DAVIDSON,NSW,2085,-33.738731,151.194197
443,FRENCHS FOREST,NSW,2086,-33.750964,151.226036
444,FRENCHS FOREST EAST,NSW,2086,-33.751488,151.245461
445,FORESTVILLE,NSW,2087,-33.762011,151.214060
446,KILLARNEY HEIGHTS,NSW,2087,-33.773728,151.216125
